code_muni,pct_acum
3108701,91.74
3157906,91.75
2931053,91.76
2509008,91.77
4306304,91.78
3201506,91.79
3137700,91.79
3161106,91.8
4207007,91.81
2207850,91.82
3138807,91.83
2203206,91.84
3511508,91.85
4305157,91.86
2112506,91.87
2202729,91.88
2104107,91.89
2516003,91.9
2303931,91.91
3117108,91.92
3142908,91.93
2900504,91.94
2500809,91.94
2911600,91.95
3134806,91.96
2412559,91.97
2310001,91.98
2200509,91.99
2304509,92
4319364,92.01
1200104,92.02
1703867,92.03
3170701,92.04
2614006,92.05
2102309,92.05
3507605,92.06
2404309,92.07
3157005,92.08
2302107,92.09
2202026,92.1
1707652,92.11
2601805,92.12
4119509,92.13
3147402,92.14
3204104,92.14
4104709,92.15
2505402,92.16
3129202,92.17
4320677,92.18
4109005,92.19
2503555,92.2
2111607,92.21
2313955,92.22
2110005,92.22
2926905,92.23
4119251,92.24
2205508,92.25
4118808,92.26
4209177,92.27
5007976,92.28
3555703,92.29
3203007,92.3
3501004,92.3
2402303,92.31
2202901,92.32
2211100,92.33
2301703,92.34
2913804,92.35
4314308,92.36
3153806,92.37
2302206,92.37
2600104,92.38
2612802,92.39
1503606,92.4
2306801,92.41
3163904,92.42
3203700,92.43
2209302,92.43
3165008,92.44
3143450,92.45
4103453,92.46
4306072,92.47
3124302,92.48
3110202,92.49
5106752,92.49
2505709,92.5
5104807,92.51
2916500,92.52
4320107,92.53
2906600,92.54
3100302,92.55
4305975,92.55
1718204,92.56
4303400,92.57
4106456,92.58
2101202,92.59
2905206,92.6
4204194,92.6
2405009,92.61
2704203,92.62
5204508,92.63
1100205,92.64
2309102,92.65
3159902,92.65
1504059,92.66
1507201,92.67
2312403,92.68
3151800,92.69
3513603,92.7
2708808,92.7
3202553,92.71
5209705,92.72
2911857,92.73
3122009,92.74
3103405,92.74
2805505,92.75
3117801,92.76
4201901,92.77
4311601,92.78
3141801,92.79
1506559,92.79
2509503,92.8
5007901,92.81
3508108,92.82
3540309,92.83
5219209,92.83
4304200,92.84
2907608,92.85
2200400,92.86
1718808,92.87
2508307,92.87
2516409,92.88
2918407,92.89
3109709,92.9
2101608,92.91
3500758,92.91
3511607,92.92
5209150,92.93
2607703,92.94
3155207,92.95
4108700,92.95
4310504,92.96
2902005,92.97
3167400,92.98
3157252,92.99
5215900,92.99
2512507,93
3156007,93.01
3113909,93.02
4111704,93.03
2509206,93.03
3541307,93.04
2307304,93.05
4108502,93.06
2902658,93.06
3541653,93.07
3159704,93.08
3528908,93.09
3108008,93.1
2204907,93.1
2208700,93.11
2500403,93.12
2203453,93.13
3548054,93.13
2305332,93.14
2914000,93.15
3139201,93.16
3531902,93.17
2930006,93.17
3118304,93.18
2412500,93.19
1302405,93.2
4217808,93.2
2605152,93.21
2611533,93.22
3112802,93.23
2505105,93.23
2901601,93.24
2907558,93.25
4320263,93.26
2609709,93.26
3549904,93.27
4310439,93.28
5006002,93.29
2209351,93.29
2100477,93.3
2201572,93.31
4305173,93.32
4317608,93.32
2412609,93.33
2409902,93.34
2610202,93.35
3127701,93.35
4309902,93.36
3524105,93.37
1200351,93.38
4310751,93.38
3103751,93.39
2514552,93.4
4306973,93.4
3156403,93.41
2208304,93.42
3169802,93.43
2207603,93.43
2403202,93.44
2910404,93.45
4107751,93.46
2907103,93.46
2921203,93.47
3132503,93.48
2210656,93.48
5004106,93.49
2805406,93.5
1712405,93.51
2707107,93.51
3515194,93.52
2704104,93.53
3123304,93.54
2104073,93.54
2302909,93.55
3502903,93.56
4318457,93.56
5211503,93.57
2920452,93.58
4204905,93.59
2103505,93.59
2926608,93.6
4316808,93.61
2311355,93.61
2512408,93.62
3108602,93.63
2207777,93.64
5209200,93.64
4124202,93.65
3138674,93.66
2923035,93.66
4112801,93.67
3135704,93.68
2307205,93.69
4204400,93.69
2412005,93.7
2508505,93.71
1710904,93.71
2504405,93.72
3141603,93.73
4309753,93.73
4105300,93.74
4124020,93.75
2516508,93.75
5002001,93.76
4309159,93.77
2901908,93.78
3120508,93.78
2400208,93.79
2917508,93.8
1200708,93.8
4314407,93.81
5005004,93.82
3201159,93.82
2308906,93.83
2911808,93.84
2917409,93.84
3117207,93.85
3125903,93.86
2929305,93.86
3205176,93.87
3161205,93.88
5222302,93.89
2300507,93.89
4308458,93.9
2401453,93.91
2909406,93.91
2909901,93.92
2202251,93.93
3538709,93.93
2516201,93.94
3128303,93.95
3169059,93.95
3144003,93.96
2703205,93.97
2709202,93.97
2311207,93.98
3554508,93.99
3145604,93.99
2307700,94
4126272,94.01
3165206,94.01
3546900,94.02
4316428,94.03
4302220,94.03
2310605,94.04
2923100,94.05
2310209,94.05
2931806,94.06
2308377,94.07
2601904,94.07
3163805,94.08
2210706,94.09
2402600,94.09
2211001,94.1
3166956,94.11
3157708,94.11
2207553,94.12
2609303,94.13
2205532,94.13
5206503,94.14
4319703,94.15
4125001,94.15
4110805,94.16
1200203,94.17
4123402,94.17
3161502,94.18
4207650,94.18
3543238,94.19
4215802,94.2
3512001,94.2
2201200,94.21
2615102,94.22
3532108,94.22
1400100,94.23
2905305,94.24
2924504,94.24
4305132,94.25
4306924,94.26
3169109,94.26
4306502,94.27
1503507,94.28
3531803,94.28
4111555,94.29
2514404,94.29
2607505,94.3
2903276,94.31
3100807,94.31
1506906,94.32
2312601,94.33
3156809,94.33
4314068,94.34
4322707,94.34
2402709,94.35
2925709,94.36
2202083,94.36
2509339,94.37
2110104,94.38
3552205,94.38
2303956,94.39
2304608,94.4
2105401,94.4
2601706,94.41
2209757,94.41
2705002,94.42
2921054,94.43
5207352,94.43
2701001,94.44
2307809,94.44
2931004,94.45
4314472,94.46
4206603,94.46
3131505,94.47
2910107,94.48
4212270,94.48
4201505,94.49
5218706,94.49
2202778,94.5
2930808,94.51
3306156,94.51
2509701,94.52
2500106,94.53
3120607,94.53
2923050,94.54
2207405,94.54
3518503,94.55
2103000,94.56
4212403,94.56
3125952,94.57
2511608,94.57
4114351,94.58
2203800,94.59
2708006,94.59
4308904,94.6
2511202,94.6
2900405,94.61
2209559,94.62
2500908,94.62
2401701,94.63
3521002,94.63
2208809,94.64
2210631,94.65
2920304,94.65
3133758,94.66
3553302,94.66
2205524,94.67
1710508,94.68
1301902,94.68
4312203,94.69
2106300,94.69
3553955,94.7
2104008,94.71
3143203,94.71
4319406,94.72
2512705,94.72
2507705,94.73
5003256,94.74
5007406,94.74
2102804,94.75
2602407,94.75
2901205,94.76
3302403,94.77
4205175,94.77
4311205,94.78
4303806,94.78
1600253,94.79
2303402,94.79
