code_muni,pct_acum
1101484,94.06
4311130,94.06
5209705,94.07
4309506,94.08
4303400,94.09
3515152,94.1
4323754,94.11
4302238,94.11
3554201,94.12
2801108,94.13
4111704,94.14
4219200,94.15
4305603,94.16
3522802,94.16
3557204,94.17
4312153,94.18
4314100,94.19
4218301,94.2
3513702,94.21
3133758,94.21
1503093,94.22
4217204,94.23
4300802,94.24
3518206,94.25
1720978,94.26
5205059,94.26
5215900,94.27
4308706,94.28
4109757,94.29
4203303,94.3
4211058,94.3
3162005,94.31
2302404,94.32
3541653,94.33
4303673,94.34
4104709,94.34
4317400,94.35
3524105,94.36
3535507,94.37
2305605,94.38
3527900,94.38
5205901,94.39
3146503,94.4
3154903,94.41
2305506,94.42
3117108,94.42
5201108,94.43
4207809,94.44
1100049,94.45
3521507,94.46
3521309,94.46
4120002,94.47
3500758,94.48
4307005,94.49
3124005,94.49
3204104,94.5
4304309,94.51
4201604,94.52
2806008,94.53
4318309,94.53
2301604,94.54
2311405,94.55
3152808,94.56
5200100,94.56
4118709,94.57
2803401,94.58
3104908,94.59
3536802,94.59
4103156,94.6
4216008,94.61
3109501,94.62
4212700,94.63
5107404,94.63
4202156,94.64
3531902,94.65
4323200,94.65
4307906,94.66
3540705,94.67
3523008,94.68
4219705,94.68
4322707,94.69
5007976,94.7
1503457,94.71
1508084,94.71
4109203,94.72
4204608,94.73
4315800,94.74
4318424,94.74
5205307,94.75
1200807,94.76
5203104,94.76
1502772,94.77
3514700,94.78
4307450,94.79
4322186,94.79
4124301,94.8
3551207,94.81
3531407,94.82
4312708,94.82
4316436,94.83
4202537,94.84
1720853,94.84
4315552,94.85
4315909,94.86
4208401,94.86
4313904,94.87
4313300,94.88
4115507,94.89
4102604,94.89
4218806,94.9
4211603,94.91
3552304,94.91
3151701,94.92
2200459,94.93
3143807,94.93
2110807,94.94
4200309,94.95
4305173,94.96
4112108,94.96
2103505,94.97
3543501,94.98
3149903,94.98
3545308,94.99
4123956,95
2104073,95
3549706,95.01
4217709,95.02
4314027,95.02
3144102,95.03
5206305,95.04
4219176,95.04
4300109,95.05
1704105,95.06
4103057,95.06
4320677,95.07
3123908,95.08
3536109,95.08
3163904,95.09
3523404,95.1
4315057,95.1
1710508,95.11
3130507,95.12
3108008,95.12
3204559,95.13
3100807,95.14
4122651,95.14
3502903,95.15
4210050,95.16
1200708,95.16
1700350,95.17
4319307,95.18
4320404,95.18
4312179,95.19
3151800,95.2
4315008,95.2
1503705,95.21
4106555,95.22
4207403,95.22
2302503,95.23
4320305,95.23
4107405,95.24
