ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,roni_pico,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
2021,feijao,10,4,2,8,500,-23.7,25,LN,0,-1.4,93,27,55
2022,feijao,4,1,1,4,1000,37.7,100,LN,0,-1.2,318,25,57
2023,feijao,110,50,40,200,800,-0.5,-20,LN,0,-1,246,20,46
2024,feijao,272,245,242,1041,988,11.1,23.5,EN,1,1.5,197,34,113
1974,milho,,2809,1854,0,660,2.5,,LN,0,-0.9,,,
1975,milho,,2300,1409,0,613,-0.7,-7.2,N,0,-0.3,,,
1976,milho,,1008,215,0,213,-64,-65.2,N,0,-0.3,,,
1977,milho,,1892,1135,0,600,5,181.3,EN,0,0.5,,,
1978,milho,,1901,1060,0,558,0.8,-7.1,N,0,0.1,,,
1979,milho,,2529,1138,0,450,-16.3,-19.3,N,0,0.2,,,
1982,milho,,1600,720,0,450,-11.5,,N,0,0.4,108,39,22
1984,milho,,728,510,0,701,39.6,,N,0,-0.3,65,61,78
1985,milho,,505,277,0,549,9.5,-21.7,LN,0,-0.6,187,57,64
1986,milho,,1141,514,0,450,-10.2,-17.9,N,0,-0.2,141,32,35
1987,milho,,548,65,0,119,-76.5,-73.7,EN,0,1.3,187,28,23
1988,milho,750,750,277,0,369,-27.4,200,N,0,-0.2,159,84,64
1989,milho,2000,2000,1200,4e-04,600,16.7,62.5,LN,0,-1.1,148,51,36
1990,milho,2000,480,288,0.0021,600,15.2,0,N,0,0.3,220,21,14
1991,milho,2000,2000,840,0.0183,420,-21.3,-30,N,0,0.4,102,19,31
1992,milho,2500,1912,1001,0.546,524,-4.5,24.7,EN,1,2,283,61,29
1993,milho,2000,0,0,0,,,,EN,0,0.9,59,31,11
1994,milho,2000,2000,1200,132,600,3.5,,N,0,0.4,177,23,34
1995,milho,2000,2000,1200,168,600,0.5,0,EN,0,0.7,115,35,66
1996,milho,2000,2000,1200,240,600,-1.4,0,LN,0,-0.6,108,30,76
1997,milho,2000,2000,1388,278,694,12.8,15.7,N,0,0.2,296,25,34
1998,milho,500,500,300,60,600,-3.1,-13.5,EN,0,1.3,83,69,114
1999,milho,2000,1200,720,122,600,-2.3,0,LN,0,-1.1,43,118,110
2000,milho,2000,2000,1200,204,600,-0.5,0,LN,0,-1.1,352,16,28
2001,milho,2000,350,210,54,600,1.1,0,LN,0,-0.5,158,23,37
2002,milho,2000,2000,1200,576,600,2.3,0,N,0,0,501,27,10
2003,milho,1000,,,,,,,N,0,0.2,187,39,62
2004,milho,2000,2000,1200,360,600,4.9,,N,0,0.1,466,24,26
2005,milho,1000,1000,500,150,500,-11.7,-16.7,N,0,0.3,169,53,77
2006,milho,1000,1000,500,180,500,-10.8,0,LN,0,-0.6,86,69,51
2007,milho,1000,1000,500,175,500,-11,0,N,0,-0.2,313,42,58
2008,milho,1200,1170,842,337,720,26.2,43.9,LN,0,-1.3,250,25,66
2009,milho,1000,1000,650,221,650,11,-9.7,LN,0,-0.7,116,41,80
2010,milho,1000,1000,500,250,500,-17.9,-23.1,EN,0,0.6,265,34,65
2011,milho,1000,980,1900,950,1939,204.1,200,LN,0,-0.9,177,41,53
2012,milho,500,,,,,,,LN,0,-0.6,189,61,28
2016,milho,320,5,1,,200,-77.2,,EN,0,1.3,160,38,84
2017,milho,250,250,900,450,3600,281.6,200,N,0,-0.3,19,39,93
2018,milho,178,1,1,1,1000,-1.7,-72.2,LN,0,-0.9,110,45,50
2019,milho,200,20,14,11,700,-36.3,-30,EN,0,0.6,220,57,73
2020,milho,200,200,240,192,1200,1.1,71.4,N,0,0,289,62,107
2021,milho,800,390,1050,1575,2692,110.1,124.4,LN,0,-1,93,27,55
2022,milho,400,,,,,,,LN,0,-1.3,318,25,57
2023,milho,600,240,602,903,2508,67.8,,N,0,-0.4,246,20,46
2024,milho,700,525,499,574,950,-41,-62.1,EN,0,0.5,197,34,113
2003,milho1,1000,0,0,,,,,EN,0,1.2,187,39,62
2004,milho1,2000,2000,1200,,600,,,N,0,0.3,466,24,26
2005,milho1,1000,1000,500,,500,,-16.7,EN,0,0.7,169,53,77
2006,milho1,1000,1000,500,,500,,0,LN,0,-0.8,86,69,51
2007,milho1,1000,1000,500,,500,,0,EN,0,0.9,313,42,58
2008,milho1,1200,1170,842,,720,,43.9,LN,1,-1.5,250,25,66
2009,milho1,1000,1000,650,,650,,-9.7,LN,0,-0.8,116,41,80
2010,milho1,1000,1000,500,,500,,-23.1,EN,1,1.6,265,34,65
2011,milho1,1000,980,1900,,1939,,200,LN,1,-1.6,177,41,53
2012,milho1,500,,,,,,,LN,0,-1,189,61,28
2016,milho1,320,5,1,,200,,,EN,1,2.4,160,38,84
2017,milho2,250,250,900,,3600,,,N,0,-0.3,19,39,93
2018,milho2,178,1,1,,1000,,-72.2,LN,0,-0.9,110,45,50
2019,milho2,200,20,14,,700,,-30,EN,0,0.6,220,57,73
2020,milho2,200,200,240,,1200,,71.4,N,0,0,289,62,107
2021,milho2,800,390,1050,,2692,,124.4,LN,0,-1,93,27,55
2022,milho2,400,,,,,,,LN,0,-1.3,318,25,57
2023,milho2,600,240,602,,2508,,,N,0,-0.4,246,20,46
2024,milho2,700,525,499,,950,,-62.1,EN,0,0.5,197,34,113
