code_muni,en,ln,n,med
3140209,20.38,18.12,20.71,19.7
3140308,10,7.94,13.29,10.28
3140407,40.75,25.94,36.79,34.39
3140506,8.75,7.69,16,10.59
3140530,15.69,13.94,18.21,15.85
3140555,30.19,25.62,31.71,29.07
3140605,8.69,9.31,13.86,10.48
3140704,15.75,14.88,18.71,16.35
3140803,27.56,25.31,21.57,24.96
3140852,0.19,1.44,4.29,1.87
3140902,13,10.94,14.71,12.8
3141009,1.69,1.38,3,1.98
3141108,5.75,7.06,10.36,7.61
3141207,11.5,10.31,12.93,11.52
3141306,16.56,16.38,19,17.24
3141405,7.19,5.94,8.64,7.2
3141504,11.56,15.56,17.21,14.67
3141603,15.62,18.19,18.57,17.41
3141702,10.38,9.25,16,11.7
3141801,4.44,4.81,8.5,5.8
3141900,28.38,19.62,22.79,23.63
3142007,3.06,6.19,4.86,4.7
3142106,14.38,16.38,21.79,17.33
3142205,21.62,18.69,24.93,21.61
3142254,0.31,1,3.36,1.48
3142304,13.75,13.62,19.71,15.52
3142403,14.19,13,20.43,15.67
3142502,2.44,3.75,9.93,5.17
3142601,32.5,25.25,29.07,28.93
3142700,0.44,1.06,3.5,1.59
3142809,11.38,9,22.36,13.89
3142908,0.88,1.5,1.71,1.35
3143005,36.94,29.31,38,34.61
3143104,11.94,12.44,14.21,12.8
3143153,16.19,11.81,20.86,16.09
3143203,28.31,26.88,36,30.15
3143302,1.56,2.88,5.14,3.11
3143401,49.25,39.25,48.79,45.63
3143450,3.69,3.06,5.64,4.07
3143500,5.5,6.5,8.79,6.85
3143609,4.19,4.31,9.57,5.87
3143708,7.94,9,11,9.24
3143807,55.12,43.06,56.43,51.33
3143906,16.75,21.38,30.07,22.41
3144003,10.44,12.44,16.93,13.11
3144102,32.44,28.5,39.43,33.2
3144201,11.69,11.56,12.14,11.78
3144300,25.75,28.94,35.21,29.74
3144359,11.06,10.81,17.36,12.89
3144375,2.75,3.44,11.43,5.63
3144409,37.62,26.62,36.79,33.54
3144508,18.94,20.12,22.36,20.39
3144607,23.75,21.06,22.36,22.39
3144656,7.75,7.69,11.07,8.74
3144672,17.12,17.56,26.86,20.24
3144706,10.38,12.62,12.29,11.74
3144805,14.31,14.75,18.36,15.7
3144904,11.62,12.69,14.14,12.76
3145000,14.75,17.5,17.36,16.5
3145059,0.38,1.44,2.36,1.35
3145109,27.75,27.5,31.29,28.74
3145208,12.12,14.19,16.29,14.11
3145307,12.81,7.62,16.36,12.09
3145356,28.19,21.5,29.43,26.24
3145372,3.88,3.75,5.21,4.24
3145406,31.94,22.25,31.71,28.5
3145455,2.62,3.56,6.57,4.15
3145505,31.94,25.88,32.36,29.96
3145604,19.31,19.38,23.14,20.5
3145703,20.38,18.75,19.07,19.41
3145802,11.94,10.75,13.29,11.93
3145851,13.88,11.44,16.43,13.8
3145877,12.44,14.62,15.71,14.2
3145901,12.94,12.81,18.5,14.59
3146008,39,29.38,37.36,35.15
3146107,12.94,11.69,18.86,14.3
3146206,21.25,17,28.64,22.02
3146255,3.94,3.75,5.79,4.43
3146305,10.5,7.94,14.36,10.78
3146404,8.25,6.62,10.5,8.37
3146503,20.81,17.56,24.21,20.72
3146552,0.62,1.38,2.43,1.43
3146602,17.38,20.44,19.43,19.07
3146701,20.69,18.5,23.64,20.83
3146750,44.44,37.38,52.64,44.48
3146909,7.31,6.5,10.57,8.02
