code_muni,en,ln,n,med
1503754,-0.31,0,0.49,0
1503804,-0.24,0.15,0.11,0
1503903,-0.57,0.4,0.12,0
1504000,-0.45,0.32,0.12,0.01
1504059,-0.42,0.43,-0.16,0.01
1504109,-0.33,0.3,0.01,0.02
1504208,-0.15,0.08,0.11,0.01
1504307,-0.2,0.25,-0.09,0.02
1504406,-0.36,0.3,0.05,0.01
1504422,-0.41,0.35,0,0.01
1504455,-0.56,0.52,-0.12,0.01
1504505,-0.25,0.22,-0.01,0.01
1504604,-0.45,0.39,-0.04,0
1504703,-0.47,0.41,-0.04,0.01
1504752,-0.54,0.51,-0.07,0.02
1504802,-0.57,0.55,-0.17,0.01
1504901,-0.41,0.36,-0.02,0.01
1504950,-0.36,0.37,-0.13,0.01
1504976,-0.22,0.09,0.18,0
1505007,-0.38,0.42,-0.16,0.02
1505031,-0.33,0.21,0.14,0.01
1505064,-0.34,0.2,0.16,0
1505106,-0.64,0.51,0.03,0.01
1505205,-0.35,0.33,-0.08,0.01
1505304,-0.62,0.52,-0.02,0.01
1505403,-0.5,0.39,0.08,0.01
1505437,-0.37,0.16,0.31,0.01
1505486,-0.48,0.35,0.09,0
1505494,-0.34,0.22,0.15,0.01
1505502,-0.35,0.38,-0.14,0.01
1505536,-0.39,0.2,0.28,0.01
1505551,-0.24,0.04,0.3,0
1505601,-0.36,0.39,-0.12,0.02
1505635,-0.26,0.05,0.37,0.01
1505650,-0.5,0.53,-0.2,0.01
1505700,-0.48,0.34,0.11,0
1505809,-0.49,0.32,0.18,0.01
1505908,-0.41,0.33,0.02,0
1506005,-0.67,0.52,0.04,0
1506104,-0.26,0.31,-0.12,0.02
1506112,-0.23,0.28,-0.08,0.02
1506138,-0.29,0.06,0.37,0.01
1506161,-0.36,0.19,0.25,0.01
1506187,-0.49,0.32,0.17,0
1506195,-0.47,0.5,-0.22,0.01
1506203,-0.15,0.21,-0.09,0.02
1506302,-0.35,0.33,-0.05,0.01
1506351,-0.45,0.38,0.01,0.01
1506401,-0.36,0.39,-0.16,0.01
1506500,-0.44,0.36,0.04,0.01
1506559,-0.46,0.34,0.11,0.01
1506583,-0.29,0.01,0.43,0
1506609,-0.41,0.38,-0.03,0.02
1506708,-0.33,0.13,0.29,0.01
1506807,-0.58,0.47,0.06,0.01
1506906,-0.26,0.32,-0.12,0.02
1507003,-0.46,0.36,0.09,0.02
1507102,-0.43,0.35,0.06,0.02
1507151,-0.32,0.29,-0.04,0
1507201,-0.41,0.42,-0.14,0.01
1507300,-0.5,0.1,0.68,0.01
1507409,-0.43,0.33,0.08,0.01
1507458,-0.27,0.01,0.44,0.01
1507466,-0.4,0.34,0.03,0.02
1507474,-0.16,0.2,-0.05,0.02
1507508,-0.32,0.29,-0.06,0
1507607,-0.47,0.4,0.02,0.01
1507706,-0.34,0.35,-0.12,0.01
1507755,-0.36,0.24,0.14,0.01
1507805,-0.43,0.43,-0.15,0
1507904,-0.4,0.4,-0.1,0.01
1507953,-0.48,0.43,-0.06,0.01
1507961,-0.45,0.36,0.08,0.02
1507979,-0.67,0.47,0.14,0
1508001,-0.48,0.5,-0.19,0.01
1508035,-0.31,0.32,-0.06,0.02
1508050,-0.34,0.26,0.05,0
1508084,-0.29,0.09,0.32,0.01
1508100,-0.43,0.25,0.2,0
1508126,-0.36,0.31,0.01,0.01
1508159,-0.56,0.5,-0.05,0.01
1508209,-0.43,0.37,0.03,0.02
1508308,-0.39,0.34,0.02,0.02
1508357,-0.33,0.44,-0.31,0.01
1508407,-0.35,0.23,0.15,0.01
1600055,-0.25,0.1,0.22,0.01
1600105,-0.22,0.24,-0.08,0.01
1600154,-0.21,0.07,0.22,0.01
1600204,-0.19,0.17,0,0.01
1600212,-0.26,0.18,0.1,0.01
1600238,-0.16,0.04,0.2,0.01
1600253,-0.26,0.14,0.21,0.01
1600279,-0.33,0.24,0.02,0
1600303,-0.26,0.14,0.21,0.01
1600402,-0.22,0.27,-0.17,0
1600501,-0.18,0.14,0.02,0
1600535,-0.21,0.15,0.07,0
1600550,-0.21,0.17,0.03,0.01
1600600,-0.22,0.25,-0.12,0.01
1600709,-0.24,0.22,0,0.01
1600808,-0.28,0.25,-0.03,0
1700251,-0.39,0.11,0.42,0
1700301,-0.44,0.18,0.38,0.01
1700350,-0.19,0.02,0.3,0.01
1700400,-0.2,0.08,0.21,0.01
1700707,-0.27,0.02,0.47,0.02
1701002,-0.32,0.2,0.15,0.01
1701051,-0.24,0.08,0.25,0.01
1701101,-0.29,0.11,0.3,0.01
1701309,-0.28,0.09,0.31,0.01
1701903,-0.29,0.03,0.39,0
1702000,-0.32,0.09,0.39,0.01
1702109,-0.21,0.08,0.2,0.01
1702158,-0.34,0.05,0.48,0.01
1702208,-0.52,0.47,-0.1,0
1702307,-0.14,-0.01,0.28,0.01
1702406,-0.18,0.01,0.32,0.01
1702554,-0.55,0.49,-0.07,0.01
1702703,-0.22,-0.03,0.46,0.01
1702901,-0.58,0.52,-0.07,0.01
1703008,-0.27,0.09,0.28,0.01
1703057,-0.27,0.08,0.3,0.01
1703073,-0.28,0.09,0.27,0
1703107,-0.21,-0.04,0.45,0.01
1703206,-0.23,-0.01,0.41,0.01
1703305,-0.19,0.1,0.14,0.01
1703602,-0.29,0.04,0.43,0.01
1703701,-0.22,0.06,0.26,0.01
1703800,-0.44,0.43,-0.17,0
1703826,-0.43,0.37,-0.02,0.01
1703842,-0.25,0.1,0.23,0
1703867,-0.25,0.06,0.32,0.01
1703883,-0.27,0.18,0.11,0.01
1703891,-0.51,0.49,-0.15,0
1703909,-0.31,0.04,0.43,0
1704105,-0.18,0.12,0.12,0.01
1704600,-0.27,0.01,0.45,0.01
1705102,-0.2,0.11,0.16,0.01
1705508,-0.21,0.03,0.31,0.01
1705557,-0.31,0.07,0.41,0.01
1705607,-0.01,-0.1,0.27,0.01
1706001,-0.28,-0.02,0.52,0.01
1706100,-0.27,0.09,0.25,0
1706258,-0.23,0.06,0.29,0.01
1706506,-0.3,0.12,0.26,0
1707009,-0.12,0.03,0.15,0.01
1707108,-0.35,0.07,0.43,0.01
1707207,-0.41,0.11,0.48,0.01
1707306,-0.29,0.11,0.26,0
1707405,-0.35,0.34,-0.12,0
1707553,-0.15,0.06,0.16,0.01
1707652,-0.28,0.05,0.41,0.01
1707702,-0.29,0.12,0.25,0
1708205,-0.37,0.14,0.34,0.01
1708254,-0.43,0.12,0.49,0.01
1708304,-0.38,0.13,0.39,0.01
1709005,-0.18,0.02,0.26,0
1709302,-0.36,0.06,0.48,0.01
1709500,-0.08,-0.02,0.21,0.01
1709807,-0.14,-0.05,0.35,0.01
1710508,-0.22,0.08,0.25,0.01
1710706,-0.55,0.43,0.04,0.01
1710904,-0.15,-0.01,0.31,0.01
1711100,-0.32,0.05,0.45,0.01
1711506,-0.29,0.03,0.45,0.01
1711803,-0.28,-0.02,0.54,0.01
1711902,-0.33,0.26,0.03,0.01
1711951,-0.28,0.12,0.26,0.01
1712009,-0.25,0.08,0.28,0.01
1712157,-0.25,-0.01,0.48,0.01
1712405,-0.13,0.08,0.11,0.01
1712454,-0.35,0.2,0.21,0.01
1712504,-0.34,0.07,0.45,0.01
1712702,-0.2,0.1,0.17,0.01
1712801,-0.51,0.38,0.09,0.01
1713205,-0.26,-0.01,0.48,0.01
1713304,-0.41,0.12,0.48,0.01
1713601,-0.2,0.06,0.24,0.01
1713700,-0.19,0.02,0.32,0.01
1713809,-0.31,0.06,0.39,0
1713957,-0.24,0.1,0.22,0.01
1714203,-0.15,0.07,0.14,0.01
1714302,-0.35,0.12,0.37,0.01
1714880,-0.15,0.06,0.14,0
1715002,-0.13,-0.01,0.24,0
1715101,-0.23,0.05,0.32,0.01
1715150,-0.31,0.12,0.32,0.01
1715259,-0.13,0.01,0.24,0.01
1715507,-0.14,0.01,0.23,0
1715705,-0.15,0.06,0.14,0
1715754,-0.35,0.16,0.29,0.01
1716109,-0.21,-0.01,0.37,0
1716208,-0.21,0.03,0.33,0.01
1716307,-0.12,0.04,0.15,0.01
1716505,-0.21,0.08,0.24,0.01
1716604,-0.09,-0.12,0.45,0.01
1716653,-0.28,-0.02,0.52,0.01
1716703,-0.4,0.14,0.43,0.01
1717008,-0.28,0.11,0.26,0.01
1717206,-0.27,0.1,0.28,0.01
1717503,-0.34,0.13,0.3,0
1717800,-0.06,-0.09,0.31,0.01
1717909,-0.3,0.12,0.28,0.01
1718006,-0.12,0.06,0.13,0.01
1718204,-0.2,-0.01,0.37,0.01
1718303,-0.57,0.49,-0.02,0.01
1718402,-0.36,0.09,0.45,0.01
1718451,-0.22,0.01,0.35,0
1718501,-0.15,0.02,0.24,0.01
1718550,-0.3,0.1,0.31,0.01
1718659,-0.1,0.02,0.18,0.01
1718709,-0.31,0.07,0.39,0.01
1718758,-0.15,0.06,0.17,0.01
1718808,-0.55,0.49,-0.08,0
1718840,-0.25,0.06,0.29,0
1718865,-0.31,0.07,0.39,0.01
1718881,-0.15,0.06,0.16,0.01
1718899,-0.25,0.11,0.2,0
1718907,-0.11,-0.04,0.31,0.01
1719004,-0.21,0.02,0.32,0.01
1720002,-0.37,0.15,0.33,0.01
1720101,-0.56,0.44,0.05,0.01
1720150,-0.1,0.12,-0.03,0.01
1720200,-0.59,0.5,-0.02,0.01
1720259,-0.27,0.01,0.48,0.02
1720309,-0.43,0.39,-0.1,0
1720499,-0.22,0.04,0.33,0.01
1720655,-0.12,-0.03,0.3,0.01
1720804,-0.58,0.5,-0.03,0.01
1720853,-0.16,-0.09,0.51,0.01
1720903,-0.16,-0.04,0.38,0.01
1720937,0.05,-0.15,0.27,0.01
1720978,-0.3,0.02,0.5,0.01
1721000,-0.26,0.09,0.28,0.01
1721109,-0.24,0.12,0.2,0.01
1721208,-0.47,0.3,0.19,0.01
1721257,-0.35,0.12,0.36,0.01
1721307,-0.25,0.04,0.36,0.01
1722081,-0.32,0.18,0.2,0.01
1722107,-0.3,0.09,0.35,0.01
2100055,-0.39,0.35,-0.04,0.01
2100105,-0.27,0.2,0.1,0.02
2100154,-0.34,0.17,0.29,0.02
2100204,-0.46,0.26,0.33,0.02
2100303,-0.34,0.21,0.21,0.02
2100402,-0.41,0.22,0.23,0
2100436,-0.4,0.28,0.13,0.01
2100477,-0.65,0.34,0.4,0.01
2100501,-0.19,0.06,0.22,0.01
2100550,-0.36,0.31,0.03,0.02
2100600,-0.47,0.44,-0.1,0.01
2100709,-0.45,0.25,0.26,0.01
2100808,-0.39,0.22,0.17,0
2100832,-0.41,0.3,0.16,0.03
2100873,-0.48,0.3,0.21,0.01
2100907,-0.31,0.13,0.29,0.01
2100956,-0.47,0.38,0.06,0.02
2101004,-0.32,0.19,0.17,0.01
2101103,-0.5,0.24,0.37,0.01
2101202,-0.4,0.31,0.05,0.01
2101251,-0.49,0.27,0.29,0.01
2101301,-0.42,0.3,0.18,0.03
2101350,-0.54,0.3,0.34,0.02
2101400,-0.19,0.1,0.16,0.01
2101509,-0.29,0.21,0.07,0.01
2101608,-0.7,0.42,0.32,0.01
2101707,-0.47,0.25,0.29,0.01
2101731,-0.45,0.24,0.28,0.01
2101772,-0.33,0.11,0.32,0
2101806,-0.07,0.29,-0.07,0.09
2101905,-0.48,0.3,0.26,0.02
2101939,-0.43,0.22,0.31,0.01
2101970,-0.39,0.32,0.04,0.01
2102002,-0.64,0.38,0.32,0.01
2102036,-0.47,0.3,0.23,0.01
