code_muni,en,ln,n,med
1718865,24.69,28.2,21.4,25.5
1718881,26.12,28.1,23.2,26.35
1718899,27.5,27.7,24.6,26.96
1718907,26.06,26.05,23.1,25.41
1719004,23.56,25.7,19.9,23.7
1720002,17.56,23.5,15.1,19.61
1720101,22.5,27.1,21.1,24.2
1720150,12.44,15.9,9.9,13.39
1720200,23.25,27.4,22.9,24.98
1720259,20.31,22,18.1,20.57
1720309,21.25,26.15,18.1,22.7
1720499,20.56,21.85,18.1,20.59
1720655,27.12,27.5,24.2,26.65
1720804,19.75,25.5,17.6,21.78
1720853,21.69,22.25,19.4,21.43
1720903,12.38,14.85,12.4,13.46
1720937,12,15.1,12.2,13.39
1720978,21.62,22.65,19,21.5
1721000,14.69,18.15,11.4,15.48
1721109,22.56,25.3,18.5,22.87
1721208,20.75,25.35,17.9,22.13
1721257,27.06,28.3,24.3,27
1721307,26.88,28.85,23.8,27.07
1722081,21.19,25.75,16.3,22.11
1722107,20,25.55,16.6,21.67
2100055,13.62,20.1,12.7,16.24
2100105,15.31,19.95,16.2,17.52
2100154,10.19,16.15,10.7,12.89
2100204,0.06,0.15,0,0.09
2100303,17.19,21.25,18,19.13
2100402,9.75,15.55,9.7,12.26
2100436,14.62,20.3,14.9,17.15
2100477,6.06,10.65,6.1,8.07
2100501,12.75,15.55,11.5,13.7
2100550,0,0,0,0
2100600,10.75,17.1,12.5,13.89
2100709,1.31,3.4,1.1,2.17
2100808,11.12,15.2,8.8,12.39
2100832,0,0,0,0
2100873,3.62,6.3,2.5,4.54
2100907,10.94,16.95,10.4,13.43
2100956,9.44,13.9,11.1,11.74
2101004,8.38,14.4,8.2,10.96
2101103,0.06,0.2,0,0.11
2101202,17,21.8,15.6,18.78
2101251,0.12,0.2,0,0.13
2101301,0,0,0,0
2101350,0.06,0.2,0,0.11
2101400,17.19,19.75,12.5,17.28
2101509,24.06,23.4,20.5,23
2101608,16.88,21.55,20.2,19.63
2101707,6.62,10.15,6.6,8.15
2101731,2,4.9,1.6,3.17
2101772,9.38,15.2,8.4,11.7
2101806,21.25,23.7,20.5,22.15
2101905,0,0.1,0,0.04
2101939,17.19,21.8,17,19.15
2101970,0,0.05,0,0.02
2102002,2.31,5.3,1.8,3.5
2102036,6.5,12.85,8.6,9.72
2102077,15.75,20.4,14.9,17.59
2102101,14.69,18.8,15.8,16.72
2102150,7.19,11.95,7.5,9.33
2102200,11.81,15.8,10.4,13.24
2102309,19.06,23,19.4,20.85
2102325,3,7.4,4.2,5.17
2102358,17.94,24.5,15.7,20.3
2102374,0.12,0.4,0,0.22
2102408,0.12,0.2,0,0.13
2102507,5.31,9.05,4.1,6.67
2102556,24.62,28.2,23.6,25.96
2102606,0,0,0,0
2102705,8.44,13.45,7,10.3
2102754,13.56,18.7,14.2,15.93
2102804,25.19,27.7,23.5,25.91
2102903,0,0.05,0,0.02
2103000,17.5,22,18,19.57
2103109,0,0.05,0,0.02
2103125,0,0.05,0,0.02
2103158,0,0.5,0,0.22
2103174,1.31,2.8,0,1.67
2103208,11,15,8.5,12.2
2103257,14.38,21.6,11.2,16.83
2103307,17.56,21.35,17.9,19.28
2103406,15.25,19.65,16.1,17.35
2103505,16.94,21.7,17.2,19.07
2103554,12.56,19.15,13.1,15.54
2103604,14.38,19.5,13.6,16.43
2103703,0,0,0,0
2103752,22.94,27.25,22.5,24.72
2103802,15.06,19.95,16.3,17.46
2103901,14.25,18.35,13.8,15.93
2104008,14.25,19.35,14.7,16.57
2104057,23.06,26.25,20.9,23.98
2104073,16.94,22.2,14.4,18.67
2104081,10.31,15.75,12.5,13.15
2104099,18.25,22.3,18,19.96
2104107,9.62,12.95,6.6,10.41
2104206,18.88,23.15,19.5,20.87
2104305,0,0,0,0
2104404,18.25,21.75,19.1,19.96
2104503,16.06,20.55,17.7,18.37
2104552,22.31,26.95,21.2,24.09
2104602,18.62,22.9,19.3,20.63
2104628,17.62,21.9,18,19.57
2104651,4.25,7.5,2.7,5.33
2104677,0,0,0,0
2104701,16,20.55,17.2,18.24
2104800,16.62,20.25,19.6,18.85
2104909,0,0.1,0,0.04
2105005,0.06,0.55,0.1,0.28
2105104,0.06,0.15,0,0.09
2105153,9.12,15.2,8.4,11.61
2105203,16.75,21.35,16,18.59
2105302,23.25,27.25,23,24.93
2105351,13.88,18.5,17,16.57
2105401,1.31,4.95,2,3.04
2105427,6.81,12.8,6.7,9.39
2105450,16.19,21.05,16.8,18.43
2105476,10.75,16.65,14.1,14.04
2105500,13.94,21.2,12.3,16.74
2105609,16.19,21.5,18.1,18.91
2105658,0,0.1,0,0.04
2105708,9.62,13.95,10,11.59
2105807,14.88,19.75,14.8,16.98
2105906,16.12,21.05,14.8,17.98
2105922,15.31,18.5,15.3,16.7
2105948,14.88,19.75,14.8,16.98
2105963,12.44,17.2,13.6,14.76
2105989,23.12,26.8,23.3,24.76
2106003,17,21,16.4,18.61
2106102,20.62,23.4,20.2,21.74
2106201,0,0,0,0
2106300,16.62,20.35,18.1,18.57
2106326,0,0,0,0
2106359,4.56,9.15,5.2,6.7
2106375,0.06,0.7,0,0.33
2106409,10.19,14.05,7.8,11.35
2106508,1.94,3.95,0.2,2.43
2106607,18,20.95,17.8,19.24
2106631,10.25,16.3,10.4,12.91
2106672,15.38,19.4,19,17.91
2106706,7.62,12.5,7.9,9.8
2106755,5.69,10.25,5.7,7.67
2106805,0,0.05,0,0.02
2106904,5.94,10.5,4.5,7.61
2107001,22.12,26.25,21.4,23.76
2107100,0.06,0.3,0,0.15
2107209,6.19,11.25,6.3,8.41
2107258,12.44,15.5,9.1,13.04
2107308,23.44,25.7,22.5,24.22
2107357,1.81,3.15,0.1,2.02
2107407,14.25,20.15,14,16.76
2107456,0.75,2.65,0.1,1.43
2107506,0.06,0.2,0,0.11
2107605,0,0.25,0,0.11
2107704,15,18.85,14.7,16.61
2107803,18.25,21.75,17.5,19.61
2107902,16.31,20.75,16.8,18.35
2108009,14,17.7,13.5,15.5
2108058,7.25,12.7,8.8,9.96
2108108,15.44,20.4,16.3,17.78
2108207,17.31,22.1,17.1,19.35
2108256,2.19,3.7,0.4,2.46
2108306,4.69,8.45,3.2,6
2108405,0,0.1,0,0.04
2108454,13.94,18.7,14.4,16.11
2108504,6.75,12.2,5.3,8.8
2108603,0,0.1,0,0.04
2108702,12.5,18.8,13.2,15.39
2108801,9.5,15.05,8.4,11.67
2108900,15.88,20.85,16.4,18.15
2109007,22.56,25.9,20.7,23.61
2109056,0,0.05,0,0.02
2109106,19,23.05,19.7,20.91
2109205,0.19,0.25,0,0.17
2109239,0,0.25,0,0.11
2109270,0.06,0.5,0,0.24
2109304,3.25,6.05,2.5,4.3
2109403,1,1.7,0.9,1.28
2109452,0.06,0.2,0.1,0.13
2109502,20.94,24,18.5,21.74
2109551,23.75,27.85,23.3,25.43
2109601,0.19,0.2,0,0.15
2109700,19.69,21.8,16.6,19.93
2109759,17.06,21.55,18.4,19.3
2109809,0,0.2,0,0.09
2109908,8.94,14.95,7.8,11.3
2110005,7,12.4,8.5,9.67
2110039,0.19,0.8,0,0.41
2110104,10.81,16.35,12.8,13.65
2110203,0.25,0.4,0.1,0.28
2110237,8.81,15.45,11.8,12.35
2110278,2.5,3.7,2.3,2.98
2110302,16.25,21.15,17.5,18.65
2110401,4.81,9.55,4.9,6.89
2110500,0,0.2,0,0.09
2110609,16.31,20.45,20.9,19.11
2110658,9.94,14.6,10.3,12.04
2110708,16.19,20.8,17,18.37
2110807,22.88,25.4,21.9,23.76
2110856,14.5,21.65,12.3,17.13
2110906,25.06,25.6,22.6,24.76
2111003,0.31,1.35,0.1,0.72
2111029,5.62,9,4.4,6.83
2111052,19.62,23.95,18.3,21.22
2111078,17.62,21.65,17.5,19.35
2111102,14.31,17.3,12.7,15.26
2111201,0.06,0.2,0,0.11
2111250,18.56,22.6,20,20.63
2111300,0.06,0.2,0,0.11
2111409,16,20.9,15.3,17.98
2111508,15.69,20.95,14.4,17.7
2111532,20.94,25.85,17.9,22.41
2111573,18.31,23.1,16.9,20.09
2111607,19.94,23.25,18.6,21.09
2111631,10.75,16.15,13.2,13.63
2111672,14,19.05,16.7,16.78
2111706,0,0.35,0,0.15
2111722,12.19,18.15,11.9,14.72
2111748,18.06,22.25,18.6,20
2111763,15.19,22.25,12.8,17.74
2111789,0,0,0,0
2111805,19.56,23.2,20.1,21.26
2111904,18.19,22.65,17.9,20.07
2111953,19.5,21.05,17.6,19.76
2112001,13.06,14.9,10.5,13.3
2112100,13.44,18.9,14.1,15.96
2112209,18.44,20.9,19.7,19.78
2112233,16.69,21.15,16,18.48
2112274,7.5,13.6,6.1,9.85
2112308,16.19,21.05,18.1,18.72
2112407,0,0,0,0
2112456,0,0,0,0
2112506,7.88,15,9.8,11.39
2112605,5.12,9.95,4.1,7
2112704,11.38,16.55,10.1,13.35
2112803,2.69,5.7,0.9,3.61
2112852,15.81,22.5,12.8,18.07
2112902,8,12.45,6,9.5
2113009,14.44,19.35,15.1,16.72
2114007,3.31,6.3,2.2,4.37
2200053,2.25,2.05,1.3,1.96
2200103,14.5,17.45,15.9,16.09
2200202,19.38,21.15,19.3,20.13
2200251,7.12,7.65,7.9,7.52
2200277,2.81,1.8,1.4,2.07
2200301,20.88,22.3,19.8,21.26
2200400,18.75,20.4,19.1,19.54
2200459,25.5,25.45,24.7,25.3
2200509,27,26.9,24.8,26.48
2200608,23.44,24.6,22.4,23.72
2200707,4.12,4.5,2.1,3.85
2200806,16.81,19.35,15,17.52
2200905,21.31,22.7,21.6,21.98
2200954,18.19,19.8,18.3,18.91
2201002,27,27.15,25,26.63
2201051,3.12,4.2,2.9,3.54
2201101,8.88,10.45,7.3,9.22
2201150,11.94,12.7,8.9,11.61
2201176,18.94,20.7,18.6,19.63
2201200,23.12,25.1,23.1,23.98
2201309,10.56,14.15,10.9,12.2
2201408,18.62,20.5,19.2,19.57
2201507,22,24.6,23,23.35
2201556,12.75,12.4,13.5,12.76
2201572,6.12,6.25,6.5,6.26
2201606,24.88,24.6,23.4,24.43
2201705,25.06,25.3,24.1,24.96
2201739,1.56,0.85,0.4,1
2201770,25.12,27.55,25.4,26.24
2201804,17.25,17.9,16.9,17.46
2201903,16.31,16.3,14.8,15.98
2201919,8.31,15.95,6.1,11.15
2201929,6,6.3,3.7,5.63
2201945,25.81,27.55,25.3,26.46
2201960,24.81,27.8,26,26.37
2201988,6.94,6.85,5.4,6.57
2202000,11.25,17.4,9.2,13.48
2202026,12.88,17.2,14.3,15.07
2202059,24.88,26.2,23.7,25.2
2202075,26.25,26.8,24.6,26.13
2202083,12.38,19.25,11.6,15.2
2202091,0.88,0.7,0,0.61
2202109,19.88,19.3,18.7,19.37
2202117,8.31,7.45,8.1,7.89
2202133,5.81,5.95,6.6,6.04
2202174,19.5,23.65,22.1,21.87
2202208,25.19,26.15,24,25.35
2202251,24.31,24.8,22.5,24.13
2202307,10.19,11.7,10.2,10.85
2202406,24.69,27.4,25.5,26.04
2202455,11.88,11.6,11.9,11.76
2202505,2.19,1.8,0.6,1.67
2202539,17.56,23.85,20.5,20.93
2202554,3.5,3,2.3,3.02
2202604,19.56,21.65,20.4,20.65
2202653,12.25,18.6,11.9,14.93
2202703,8.88,15.5,8.5,11.67
2202711,24.38,27.4,24.9,25.8
2202729,14.19,20.5,15.2,17.15
2202737,21.31,22.65,20.4,21.7
2202752,20.81,20.85,19.8,20.61
2202778,21.12,22.75,19.8,21.54
2202802,11.5,11.25,11.8,11.46
2202851,8.44,9.5,8.3,8.87
2202901,6.44,9.45,5.1,7.46
2203008,8.56,10.3,7.5,9.09
2203107,22.75,22.35,21.4,22.28
2203206,13.38,14.65,11.9,13.61
2203230,9.44,8.8,5.9,8.39
