code_muni,en,ln,n,med
1505551,747.53,771.53,740.4,755.89
1505601,1204.53,1253.21,1255,1235.61
1505635,715.94,855.26,731.2,776.8
1505650,792.24,940.16,834.8,862.59
1505700,1211.41,1232.74,1189.7,1215.5
1505809,1258,1329.63,1240,1283.67
1505908,917.18,1000.68,902.8,948.54
1506005,812.41,952.89,840,876.43
1506104,1341.71,1347.58,1331.3,1341.87
1506112,1393.53,1425.32,1366,1400.67
1506138,729.41,762.89,730.3,743.43
1506161,742.06,792.37,723.6,758.83
1506187,880.12,1089.37,916.1,974.37
1506195,768.53,913.95,850.6,846.43
1506203,1511,1573.47,1538.1,1542.7
1506302,1362.71,1351.42,1333.6,1351.72
1506351,1214.65,1223.68,1241.4,1224.2
1506401,1294.82,1295.58,1271.5,1290.07
1506500,1141.47,1157.53,1189.9,1158.63
1506559,1079.47,1075.11,1096,1081.26
1506583,685.18,741.05,755.6,723.57
1506609,1081.53,1085.95,1162.7,1101
1506708,678.47,687.16,741.4,695.74
1506807,900.71,1061.89,932.9,974.28
1506906,1364.06,1405.21,1362.5,1380.72
1507003,1198.82,1210.05,1218.9,1207.83
1507102,1329.71,1327.32,1307.3,1323.85
1507151,764.41,939.42,813.7,847.41
1507201,1098.94,1140.32,1078.6,1111.61
1507300,764.76,785.05,767.4,773.72
1507409,1080.41,1097.11,1204.6,1114.3
1507458,788.53,900.53,788.2,834.72
1507466,1348.24,1385,1327,1358.8
1507474,1487.29,1567.89,1533.4,1530.61
1507508,770.47,966.95,803.2,858.74
1507607,1064.12,1065.74,1144.5,1082.26
1507706,1102.35,1229.21,1080.5,1150
1507755,714.88,830.84,703.4,760.28
1507805,919,1064.79,1025.5,1002.37
1507904,1385.12,1357.63,1344.9,1365.02
1507953,1086.35,1295.32,1154.7,1187.52
1507961,1197.12,1197.16,1217.6,1201.59
1507979,906.53,1079.63,994.7,997.2
1508001,1137.59,1329.37,1129.2,1214.98
1508035,1264.41,1305.05,1251.8,1278.46
1508050,866.59,994.68,924.5,932.09
1508084,784.12,793.16,783.5,787.72
1508100,1025.41,1189.74,1103,1110.15
1508126,852.18,1022.05,885.6,929.61
1508159,782.76,878.37,772.5,820.02
1508209,1261.47,1277.21,1219.6,1258.87
1508308,1107.88,1120.32,1146.8,1121.48
1508357,976.71,1134,1104,1069.35
1508407,715.65,823.58,709.3,758.85
1600055,1094,1146.53,1124.2,1122.26
1600105,1460.06,1670.11,1436.3,1541.65
1600154,970,947.05,1014.9,970.28
1600204,1451.35,1706.84,1470.1,1560.96
1600212,1241.12,1311,1295.5,1281.8
1600238,981.47,948.16,998.5,971.41
1600253,1092.59,1149.16,1210.7,1141.63
1600279,827.94,897.53,891.6,870.52
1600303,1092.59,1149.16,1210.7,1141.63
1600402,918.82,871.89,942,904.48
1600501,1296.65,1506.68,1343.9,1393.67
1600535,941.24,881.89,919.4,911.98
1600550,1375.76,1503.95,1391.6,1432.15
1600600,1004.29,981.74,999,993.83
1600709,1275.71,1341.63,1261.4,1299.83
1600808,931.35,975.37,921,947.28
1700251,754.53,796,835.8,789.33
1700301,629.47,728.58,714.1,688.8
1700350,622.18,613.79,657.1,626.3
1700400,583.53,594.58,594,590.37
1700707,548.59,537.58,570.6,548.83
1701002,701.65,842.79,757.1,772
1701051,674.47,802.26,758.9,745.61
1701101,647.65,697.26,657.6,670.3
1701309,725.24,869.37,812.5,803.74
1701903,722.24,764.84,799.2,756.57
1702000,578.35,559.26,600.4,575.26
1702109,735.12,800.89,823.9,781.59
1702158,721.12,863.58,807,798.63
1702208,719.53,875.79,813.8,804.57
1702307,734.47,749.32,753,744.63
1702406,493.94,411.79,515,464.59
1702554,717.35,871.42,798.7,798.67
1702703,639.59,503.11,624.7,579.98
1702901,660.47,805.74,756.4,741.33
1703008,693.53,736.68,778.2,729.76
1703057,725,753.79,762,744.93
1703073,633.41,681.11,696.4,666.8
1703107,754.12,776.79,783.2,769.8
1703206,730.35,758.11,765.6,749.48
1703305,669.76,721.89,710.6,700.17
1703602,680.82,766.58,716.8,724.07
1703701,648.53,650.74,703.2,661.33
1703800,730.94,933.11,808.5,831.3
1703826,675.41,790.53,710.6,730.61
1703842,576.47,630.16,594.6,602.59
1703867,572.06,577.11,578.6,575.57
1703883,726.88,830.58,846.9,795.8
1703891,742.24,927.68,809.5,833.46
1703909,684.59,730.42,808.4,730.43
1704105,673.59,733.32,686.5,701.07
1704600,738.06,782.32,806.9,771.3
1705102,582.18,587.32,636.4,596.09
1705508,701.94,751.32,737.7,730.11
1705557,551.47,456.68,584.9,519.59
1705607,503.59,482.47,527,499.96
1706001,723.18,754.21,739.8,739.61
1706100,727.94,736.26,763.4,739.09
1706258,659.65,656.16,696.1,666.13
1706506,658.35,753,728.9,712.78
1707009,619.71,584.05,565.5,593.2
1707108,741.59,806.32,826.3,786.74
1707207,761.65,789.84,759.3,772.78
1707306,639.41,639.89,652.3,642.41
1707405,777.35,970.37,826.3,867.72
1707553,709.71,702.16,745.8,714.43
1707652,560.06,562.21,565.3,562.09
1707702,667.53,702.21,738.1,697.2
1708205,597.65,586.58,654.6,605.46
1708254,704.71,746.89,700.9,721.3
1708304,749.47,781.42,760.2,765
1709005,645.12,697.89,695.4,677.85
1709302,675.76,725.74,692.4,700.02
1709500,575.53,580.11,600,582.74
1709807,648.35,599.53,703.5,640.17
1710508,671.71,751.89,696.7,710.26
1710706,655.35,747.58,738.5,711.52
1710904,675.88,769.84,702.7,720.52
1711100,696.82,754.84,713.7,724.46
1711506,533.12,531.05,544.2,534.67
1711803,727.65,758.21,749.9,745.11
1711902,666.65,651.16,713.1,670.35
1711951,631.35,672,661.4,654.67
1712009,677.94,726.11,676.8,697.59
1712157,563.71,467,570.7,525.28
1712405,594.18,675.74,625.8,634.74
1712454,665.29,771.32,730.4,723.24
1712504,677.12,735.84,803.8,728.91
1712702,467.59,581.16,536.8,529.54
1712801,653.71,742.21,742.4,709.54
